#tax_id,GeneID,Symbol
9606,729230,CCR2
9606,1234,CCR5
9606,10803,CCR9
9606,9973,CCS
9606,22948,CCT5
9606,10574,CCT7
9606,135228,CD109
9606,929,CD14
9606,977,CD151
9606,9332,CD163
9606,8763,CD164
9606,930,CD19
9606,914,CD2
9606,50489,CD207
9606,30835,CD209
9606,100133941,CD24
9606,51744,CD244
9606,919,CD247
9606,939,CD27
9606,80381,CD276
9606,940,CD28
9606,23607,CD2AP
9606,51293,CD320
9606,948,CD36
9606,951,CD37
9606,915,CD3D
9606,916,CD3E
9606,917,CD3G
9606,920,CD4
9606,958,CD40
9606,959,CD40LG
9606,960,CD44
9606,4179,CD46
9606,1604,CD55
9606,966,CD59
9606,967,CD63
9606,972,CD74
9606,973,CD79A
9606,974,CD79B
9606,975,CD81
9606,3732,CD82
9606,9308,CD83
9606,942,CD86
9606,925,CD8A
9606,928,CD9
9606,10225,CD96
9606,4267,CD99
9606,83692,CD99L2
9606,146059,CDAN1
9606,8556,CDC14A
9606,994,CDC25B
9606,998,CDC42
9606,8318,CDC45
9606,990,CDC6
9606,79577,CDC73
9606,83879,CDCA7
9606,999,CDH1
9606,1009,CDH11
9606,1012,CDH13
9606,1013,CDH15
9606,1000,CDH2
9606,64072,CDH23
9606,1001,CDH3
9606,1007,CDH9
9606,92211,CDHR1
9606,983,CDK1
9606,728642,CDK11A
9606,8621,CDK13
9606,5127,CDK16
9606,1017,CDK2
9606,1019,CDK4
9606,1020,CDK5
9606,55755,CDK5RAP2
9606,1021,CDK6
9606,1025,CDK9
9606,54901,CDKAL1
9606,51265,CDKL3
9606,6792,CDKL5
9606,1026,CDKN1A
9606,1027,CDKN1B
9606,1028,CDKN1C
9606,1029,CDKN2A
9606,55602,CDKN2AIP
9606,1030,CDKN2B
9606,1033,CDKN3
9606,50937,CDON
9606,1038,CDR1
9606,1041,CDSN
9606,81620,CDT1
9606,1044,CDX1
9606,9085,CDY1
9606,9426,CDY2A
9606,634,CEACAM1
9606,388551,CEACAM16
9606,1050,CEBPA
9606,1051,CEBPB
9606,1053,CEBPE
9606,10153,CEBPZ
9606,27443,CECR2
9606,1056,CEL
9606,60680,CELF5
9606,9620,CELSR1
9606,1952,CELSR2
9606,1951,CELSR3
9606,23670,CEMIP2
9606,1062,CENPE
9606,1063,CENPF
9606,2491,CENPI
9606,55835,CENPJ
9606,9731,CEP104
9606,153241,CEP120
9606,9662,CEP135
9606,22995,CEP152
9606,22897,CEP164
9606,9859,CEP170
9606,84984,CEP19
9606,11190,CEP250
9606,80184,CEP290
9606,95681,CEP41
9606,9702,CEP57
9606,80254,CEP63
